id,questionName,questionURL,acceptancePercentage,difficultyLevel,questionTags
779,K-th Symbol in Grammar,https://leetcode.com/problems/k-th-symbol-in-grammar/,40.8%,Medium,"Math, Bit Manipulation, Recursion"
780,Reaching Points,https://leetcode.com/problems/reaching-points/,32.4%,Hard,Math
781,Rabbits in Forest,https://leetcode.com/problems/rabbits-in-forest/,55.3%,Medium,"Array, Hash Table, Math, Greedy"
782,Transform to Chessboard,https://leetcode.com/problems/transform-to-chessboard/,51.8%,Hard,"Array, Math, Bit Manipulation, Matrix"
783,Minimum Distance Between BST Nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes/,56.8%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
784,Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation/,73.4%,Medium,"String, Backtracking, Bit Manipulation"
785,Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite/,52.6%,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph"
786,K-th Smallest Prime Fraction,https://leetcode.com/problems/k-th-smallest-prime-fraction/,50.7%,Medium,"Array, Binary Search, Sorting, Heap (Priority Queue)"
787,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,35.9%,Medium,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
788,Rotated Digits,https://leetcode.com/problems/rotated-digits/,56.9%,Medium,"Math, Dynamic Programming"
789,Escape The Ghosts,https://leetcode.com/problems/escape-the-ghosts/,60.6%,Medium,"Array, Math"
790,Domino and Tromino Tiling,https://leetcode.com/problems/domino-and-tromino-tiling/,48.4%,Medium,Dynamic Programming
791,Custom Sort String,https://leetcode.com/problems/custom-sort-string/,69.4%,Medium,"Hash Table, String, Sorting"
792,Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences/,51.9%,Medium,"Hash Table, String, Trie, Sorting"
793,Preimage Size of Factorial Zeroes Function,https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function/,42.7%,Hard,"Math, Binary Search"
794,Valid Tic-Tac-Toe State,https://leetcode.com/problems/valid-tic-tac-toe-state/,35.2%,Medium,"Array, String"
795,Number of Subarrays with Bounded Maximum,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum/,52.7%,Medium,"Array, Two Pointers"
796,Rotate String,https://leetcode.com/problems/rotate-string/,54.0%,Easy,"String, String Matching"
797,All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target/,81.4%,Medium,"Backtracking, Depth-First Search, Breadth-First Search, Graph"
798,Smallest Rotation with Highest Score,https://leetcode.com/problems/smallest-rotation-with-highest-score/,49.7%,Hard,"Array, Prefix Sum"
799,Champagne Tower,https://leetcode.com/problems/champagne-tower/,51.2%,Medium,Dynamic Programming
801,Minimum Swaps To Make Sequences Increasing,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/,39.3%,Hard,"Array, Dynamic Programming"
802,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states/,55.0%,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
803,Bricks Falling When Hit,https://leetcode.com/problems/bricks-falling-when-hit/,34.3%,Hard,"Array, Union Find, Matrix"
804,Unique Morse Code Words,https://leetcode.com/problems/unique-morse-code-words/,82.6%,Easy,"Array, Hash Table, String"
805,Split Array With Same Average,https://leetcode.com/problems/split-array-with-same-average/,25.9%,Hard,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask"
806,Number of Lines To Write String,https://leetcode.com/problems/number-of-lines-to-write-string/,66.1%,Easy,"Array, String"
807,Max Increase to Keep City Skyline,https://leetcode.com/problems/max-increase-to-keep-city-skyline/,86.0%,Medium,"Array, Greedy, Matrix"
808,Soup Servings,https://leetcode.com/problems/soup-servings/,43.1%,Medium,"Math, Dynamic Programming, Probability and Statistics"
809,Expressive Words,https://leetcode.com/problems/expressive-words/,46.3%,Medium,"Array, Two Pointers, String"
810,Chalkboard XOR Game,https://leetcode.com/problems/chalkboard-xor-game/,55.1%,Hard,"Array, Math, Bit Manipulation, Brainteaser, Game Theory"
811,Subdomain Visit Count,https://leetcode.com/problems/subdomain-visit-count/,75.1%,Medium,"Array, Hash Table, String, Counting"
812,Largest Triangle Area,https://leetcode.com/problems/largest-triangle-area/,60.0%,Easy,"Array, Math, Geometry"
813,Largest Sum of Averages,https://leetcode.com/problems/largest-sum-of-averages/,52.9%,Medium,"Array, Dynamic Programming"
814,Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning/,72.6%,Medium,"Tree, Depth-First Search, Binary Tree"
815,Bus Routes,https://leetcode.com/problems/bus-routes/,45.7%,Hard,"Array, Hash Table, Breadth-First Search"
816,Ambiguous Coordinates,https://leetcode.com/problems/ambiguous-coordinates/,56.1%,Medium,"String, Backtracking"
817,Linked List Components,https://leetcode.com/problems/linked-list-components/,58.1%,Medium,"Array, Hash Table, Linked List"
818,Race Car,https://leetcode.com/problems/race-car/,43.6%,Hard,Dynamic Programming
819,Most Common Word,https://leetcode.com/problems/most-common-word/,45.0%,Easy,"Hash Table, String, Counting"
820,Short Encoding of Words,https://leetcode.com/problems/short-encoding-of-words/,60.7%,Medium,"Array, Hash Table, String, Trie"
821,Shortest Distance to a Character,https://leetcode.com/problems/shortest-distance-to-a-character/,71.4%,Easy,"Array, Two Pointers, String"
822,Card Flipping Game,https://leetcode.com/problems/card-flipping-game/,45.5%,Medium,"Array, Hash Table"
823,Binary Trees With Factors,https://leetcode.com/problems/binary-trees-with-factors/,50.0%,Medium,"Array, Hash Table, Dynamic Programming"
824,Goat Latin,https://leetcode.com/problems/goat-latin/,67.8%,Easy,String
825,Friends Of Appropriate Ages,https://leetcode.com/problems/friends-of-appropriate-ages/,46.4%,Medium,"Array, Two Pointers, Binary Search, Sorting"
826,Most Profit Assigning Work,https://leetcode.com/problems/most-profit-assigning-work/,44.4%,Medium,"Array, Two Pointers, Binary Search, Greedy, Sorting"
827,Making A Large Island,https://leetcode.com/problems/making-a-large-island/,44.7%,Hard,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
828,Count Unique Characters of All Substrings of a Given String,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/,51.6%,Hard,"Hash Table, String, Dynamic Programming"
829,Consecutive Numbers Sum,https://leetcode.com/problems/consecutive-numbers-sum/,41.5%,Hard,"Math, Enumeration"
830,Positions of Large Groups,https://leetcode.com/problems/positions-of-large-groups/,51.7%,Easy,String
831,Masking Personal Information,https://leetcode.com/problems/masking-personal-information/,46.8%,Medium,String
832,Flipping an Image,https://leetcode.com/problems/flipping-an-image/,80.4%,Easy,"Array, Two Pointers, Matrix, Simulation"
833,Find And Replace in String,https://leetcode.com/problems/find-and-replace-in-string/,54.1%,Medium,"Array, String, Sorting"
834,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree/,54.2%,Hard,"Dynamic Programming, Tree, Depth-First Search, Graph"
835,Image Overlap,https://leetcode.com/problems/image-overlap/,61.0%,Medium,"Array, Matrix"
836,Rectangle Overlap,https://leetcode.com/problems/rectangle-overlap/,43.3%,Easy,"Math, Geometry"
837,New 21 Game,https://leetcode.com/problems/new-21-game/,36.1%,Medium,"Math, Dynamic Programming, Sliding Window, Probability and Statistics"
838,Push Dominoes,https://leetcode.com/problems/push-dominoes/,57.0%,Medium,"Two Pointers, String, Dynamic Programming"
839,Similar String Groups,https://leetcode.com/problems/similar-string-groups/,47.6%,Hard,"Array, String, Depth-First Search, Breadth-First Search, Union Find"
840,Magic Squares In Grid,https://leetcode.com/problems/magic-squares-in-grid/,38.5%,Medium,"Array, Math, Matrix"
841,Keys and Rooms,https://leetcode.com/problems/keys-and-rooms/,70.1%,Medium,"Depth-First Search, Breadth-First Search, Graph"
842,Split Array into Fibonacci Sequence,https://leetcode.com/problems/split-array-into-fibonacci-sequence/,38.2%,Medium,"String, Backtracking"
843,Guess the Word,https://leetcode.com/problems/guess-the-word/,42.0%,Hard,"Array, Math, String, Interactive, Game Theory"
844,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare/,48.0%,Easy,"Two Pointers, String, Stack, Simulation"
845,Longest Mountain in Array,https://leetcode.com/problems/longest-mountain-in-array/,40.2%,Medium,"Array, Two Pointers, Dynamic Programming, Enumeration"
846,Hand of Straights,https://leetcode.com/problems/hand-of-straights/,56.5%,Medium,"Array, Hash Table, Greedy, Sorting"
847,Shortest Path Visiting All Nodes,https://leetcode.com/problems/shortest-path-visiting-all-nodes/,61.3%,Hard,"Dynamic Programming, Bit Manipulation, Breadth-First Search, Graph, Bitmask"
848,Shifting Letters,https://leetcode.com/problems/shifting-letters/,45.4%,Medium,"Array, String"
849,Maximize Distance to Closest Person,https://leetcode.com/problems/maximize-distance-to-closest-person/,47.6%,Medium,Array
850,Rectangle Area II,https://leetcode.com/problems/rectangle-area-ii/,53.7%,Hard,"Array, Segment Tree, Line Sweep, Ordered Set"
851,Loud and Rich,https://leetcode.com/problems/loud-and-rich/,58.2%,Medium,"Array, Depth-First Search, Graph, Topological Sort"
852,Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,69.5%,Medium,"Array, Binary Search"
853,Car Fleet,https://leetcode.com/problems/car-fleet/,50.0%,Medium,"Array, Stack, Sorting, Monotonic Stack"
854,K-Similar Strings,https://leetcode.com/problems/k-similar-strings/,40.1%,Hard,"String, Breadth-First Search"
855,Exam Room,https://leetcode.com/problems/exam-room/,43.4%,Medium,"Design, Ordered Set"
856,Score of Parentheses,https://leetcode.com/problems/score-of-parentheses/,65.1%,Medium,"String, Stack"
857,Minimum Cost to Hire K Workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/,52.0%,Hard,"Array, Greedy, Sorting, Heap (Priority Queue)"
858,Mirror Reflection,https://leetcode.com/problems/mirror-reflection/,63.3%,Medium,"Math, Geometry"
859,Buddy Strings,https://leetcode.com/problems/buddy-strings/,29.0%,Easy,"Hash Table, String"
860,Lemonade Change,https://leetcode.com/problems/lemonade-change/,52.8%,Easy,"Array, Greedy"
861,Score After Flipping Matrix,https://leetcode.com/problems/score-after-flipping-matrix/,75.1%,Medium,"Array, Greedy, Bit Manipulation, Matrix"
862,Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/,26.1%,Hard,"Array, Binary Search, Queue, Sliding Window, Heap (Priority Queue), Prefix Sum, Monotonic Queue"
863,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,62.1%,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
864,Shortest Path to Get All Keys,https://leetcode.com/problems/shortest-path-to-get-all-keys/,45.4%,Hard,"Bit Manipulation, Breadth-First Search"
865,Smallest Subtree with all the Deepest Nodes,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,68.6%,Medium,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
866,Prime Palindrome,https://leetcode.com/problems/prime-palindrome/,25.8%,Medium,Math
867,Transpose Matrix,https://leetcode.com/problems/transpose-matrix/,63.4%,Easy,"Array, Matrix, Simulation"
868,Binary Gap,https://leetcode.com/problems/binary-gap/,61.9%,Easy,Bit Manipulation
869,Reordered Power of 2,https://leetcode.com/problems/reordered-power-of-2/,64.0%,Medium,"Math, Sorting, Counting, Enumeration"
870,Advantage Shuffle,https://leetcode.com/problems/advantage-shuffle/,51.7%,Medium,"Array, Two Pointers, Greedy, Sorting"
871,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops/,39.9%,Hard,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
872,Leaf-Similar Trees,https://leetcode.com/problems/leaf-similar-trees/,65.2%,Easy,"Tree, Depth-First Search, Binary Tree"
873,Length of Longest Fibonacci Subsequence,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/,48.6%,Medium,"Array, Hash Table, Dynamic Programming"
874,Walking Robot Simulation,https://leetcode.com/problems/walking-robot-simulation/,38.4%,Medium,"Array, Simulation"
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,52.4%,Medium,"Array, Binary Search"
876,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,73.7%,Easy,"Linked List, Two Pointers"
877,Stone Game,https://leetcode.com/problems/stone-game/,69.7%,Medium,"Array, Math, Dynamic Programming, Game Theory"
878,Nth Magical Number,https://leetcode.com/problems/nth-magical-number/,35.7%,Hard,"Math, Binary Search"
879,Profitable Schemes,https://leetcode.com/problems/profitable-schemes/,40.5%,Hard,"Array, Dynamic Programming"
880,Decoded String at Index,https://leetcode.com/problems/decoded-string-at-index/,28.3%,Medium,"String, Stack"
881,Boats to Save People,https://leetcode.com/problems/boats-to-save-people/,52.7%,Medium,"Array, Two Pointers, Greedy, Sorting"
882,Reachable Nodes In Subdivided Graph,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/,50.3%,Hard,"Graph, Heap (Priority Queue), Shortest Path"
883,Projection Area of 3D Shapes,https://leetcode.com/problems/projection-area-of-3d-shapes/,70.7%,Easy,"Array, Math, Geometry, Matrix"
884,Uncommon Words from Two Sentences,https://leetcode.com/problems/uncommon-words-from-two-sentences/,66.0%,Easy,"Hash Table, String"
885,Spiral Matrix III,https://leetcode.com/problems/spiral-matrix-iii/,73.0%,Medium,"Array, Matrix, Simulation"
886,Possible Bipartition,https://leetcode.com/problems/possible-bipartition/,48.4%,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph"
887,Super Egg Drop,https://leetcode.com/problems/super-egg-drop/,27.2%,Hard,"Math, Binary Search, Dynamic Programming"
888,Fair Candy Swap,https://leetcode.com/problems/fair-candy-swap/,60.5%,Easy,"Array, Hash Table, Binary Search, Sorting"
889,Construct Binary Tree from Preorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/,70.8%,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
890,Find and Replace Pattern,https://leetcode.com/problems/find-and-replace-pattern/,77.9%,Medium,"Array, Hash Table, String"
891,Sum of Subsequence Widths,https://leetcode.com/problems/sum-of-subsequence-widths/,36.4%,Hard,"Array, Math, Sorting"
892,Surface Area of 3D Shapes,https://leetcode.com/problems/surface-area-of-3d-shapes/,63.1%,Easy,"Array, Math, Geometry, Matrix"
893,Groups of Special-Equivalent Strings,https://leetcode.com/problems/groups-of-special-equivalent-strings/,70.8%,Medium,"Array, Hash Table, String"
894,All Possible Full Binary Trees,https://leetcode.com/problems/all-possible-full-binary-trees/,80.0%,Medium,"Dynamic Programming, Tree, Recursion, Memoization, Binary Tree"
895,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack/,66.8%,Hard,"Hash Table, Stack, Design, Ordered Set"
896,Monotonic Array,https://leetcode.com/problems/monotonic-array/,58.2%,Easy,Array
897,Increasing Order Search Tree,https://leetcode.com/problems/increasing-order-search-tree/,78.4%,Easy,"Stack, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
898,Bitwise ORs of Subarrays,https://leetcode.com/problems/bitwise-ors-of-subarrays/,36.8%,Medium,"Array, Dynamic Programming, Bit Manipulation"
899,Orderly Queue,https://leetcode.com/problems/orderly-queue/,59.0%,Hard,"Math, String, Sorting"
900,RLE Iterator,https://leetcode.com/problems/rle-iterator/,59.5%,Medium,"Array, Design, Counting, Iterator"
901,Online Stock Span,https://leetcode.com/problems/online-stock-span/,63.9%,Medium,"Stack, Design, Monotonic Stack, Data Stream"
902,Numbers At Most N Given Digit Set,https://leetcode.com/problems/numbers-at-most-n-given-digit-set/,41.5%,Hard,"Array, Math, String, Binary Search, Dynamic Programming"
903,Valid Permutations for DI Sequence,https://leetcode.com/problems/valid-permutations-for-di-sequence/,57.7%,Hard,Dynamic Programming
